epoch,run,val
0,test,0.7004386782646179
1,test,0.6785327196121216
2,test,0.6359914541244507
3,test,0.5467231869697571
4,test,0.4398386478424072
5,test,0.37244346737861633
6,test,0.3446494936943054
7,test,0.28992411494255066
8,test,0.2661281228065491
9,test,0.24395062029361725
10,test,0.22791337966918945
11,test,0.21112596988677979
12,test,0.19791172444820404
13,test,0.1843358278274536
14,test,0.1728941947221756
15,test,0.16151946783065796
16,test,0.1515071839094162
17,test,0.1418382227420807
18,test,0.1330813616514206
19,test,0.12481726706027985
20,test,0.11719978600740433
21,test,0.1101246103644371
22,test,0.10355082154273987
23,test,0.09749603271484375
24,test,0.09186378121376038
25,test,0.08668740093708038
26,test,0.08188147842884064
27,test,0.077458456158638
28,test,0.0733611136674881
29,test,0.06958165764808655
30,test,0.06608423590660095
31,test,0.06285139918327332
32,test,0.059858355671167374
33,test,0.05708606168627739
34,test,0.05451517552137375
35,test,0.05212857201695442
36,test,0.04991034045815468
37,test,0.04784609377384186
38,test,0.04592270776629448
39,test,0.04412836208939552
40,test,0.04245225340127945
41,test,0.040884703397750854
42,test,0.03941686823964119
43,test,0.03804076090455055
44,test,0.03674911707639694
45,test,0.035535331815481186
46,test,0.03439337760210037
47,test,0.033317744731903076
48,test,0.03230343014001846
49,test,0.031345825642347336
50,test,0.030440740287303925
51,test,0.029584303498268127
52,test,0.028773004189133644
53,test,0.028003590181469917
54,test,0.027273094281554222
55,test,0.026578795164823532
56,test,0.025918183848261833
57,test,0.025288963690400124
58,test,0.02468901313841343
59,test,0.0241163969039917
0,train,0.7179012894630432
1,train,0.7005655765533447
2,train,0.6787230372428894
3,train,0.6357570290565491
4,train,0.5438532829284668
5,train,0.43384644389152527
6,train,0.3705337643623352
7,train,0.337003231048584
8,train,0.29051026701927185
9,train,0.2633844316005707
10,train,0.24367515742778778
11,train,0.2252655327320099
12,train,0.20963330566883087
13,train,0.19493676722049713
14,train,0.1819109469652176
15,train,0.16963347792625427
16,train,0.15856315195560455
17,train,0.14814375340938568
18,train,0.13866858184337616
19,train,0.12978313863277435
20,train,0.12165847420692444
21,train,0.11407934874296188
22,train,0.10712173581123352
23,train,0.10066734254360199
24,train,0.09472708404064178
25,train,0.0892375037074089
26,train,0.08417773246765137
27,train,0.07950779795646667
28,train,0.07519904524087906
29,train,0.07122082263231277
30,train,0.06754637509584427
31,train,0.06415021419525146
32,train,0.06100902333855629
33,train,0.058101046830415726
34,train,0.05540630221366882
35,train,0.05290639400482178
36,train,0.050584472715854645
37,train,0.04842521622776985
38,train,0.046414706856012344
39,train,0.044540323317050934
40,train,0.04279066622257233
41,train,0.04115539416670799
42,train,0.03962518274784088
43,train,0.03819159418344498
44,train,0.036846939474344254
45,train,0.03558426722884178
46,train,0.03439725190401077
47,train,0.033280108124017715
48,train,0.03222757205367088
49,train,0.03123481385409832
50,train,0.030297432094812393
51,train,0.029411377385258675
52,train,0.02857295423746109
53,train,0.0277787484228611
54,train,0.027025630697607994
55,train,0.02631073258817196
56,train,0.025631412863731384
57,train,0.024985238909721375
58,train,0.024369971826672554
59,train,0.023783545941114426
